,doc_key,Points,Lead Time,Cycle Time
151,SOL-1486,8.0,80.0,44.0
152,SOL-1485,8.0,80.0,9.0
153,SOL-1484,8.0,74.0,38.0
154,SOL-1478,5.0,405.0,9.0
155,SOL-1477,8.0,301.0,10.0
156,SOL-1476,5.0,29.0,16.0
157,SOL-1471,13.0,127.0,9.0
158,SOL-1470,8.0,99.0,16.0
159,SOL-1469,5.0,125.0,7.0
160,SOL-1465,21.0,100.0,10.0
161,SOL-1464,13.0,86.0,50.0
162,SOL-1463,13.0,104.0,6.0
163,SOL-1455,8.0,20.0,12.0
164,SOL-1454,13.0,28.0,7.0
165,SOL-1453,8.0,41.0,20.0
166,SOL-1452,13.0,79.0,57.0
167,SOL-1451,5.0,29.0,7.0
168,SOL-1439,8.0,20.0,14.0
169,SOL-1435,13.0,175.0,14.0
170,SOL-1422,13.0,36.0,15.0
171,SOL-1421,13.0,35.0,8.0
172,SOL-1413,8.0,63.0,16.0
173,SOL-1412,8.0,119.0,69.0
174,SOL-1411,5.0,23.0,1.0
175,SOL-1410,13.0,147.0,23.0
176,SOL-1404,8.0,62.0,5.0
177,SOL-1402,8.0,64.0,14.0
178,SOL-1401,20.0,49.0,35.0
179,SOL-1392,5.0,44.0,36.0
180,SOL-1390,5.0,69.0,5.0
181,SOL-1389,5.0,56.0,7.0
182,SOL-1388,8.0,77.0,13.0
183,SOL-1387,8.0,63.0,13.0
184,SOL-1386,8.0,78.0,14.0
185,SOL-1385,20.0,63.0,55.0
186,SOL-1365,13.0,105.0,16.0
187,SOL-1364,8.0,46.0,11.0
188,SOL-1363,3.0,105.0,2.0
189,SOL-1362,13.0,61.0,15.0
190,SOL-1361,8.0,46.0,13.0
191,SOL-1360,2.0,21.0,16.0
192,SOL-1358,5.0,105.0,44.0
193,SOL-1357,5.0,74.0,13.0
194,SOL-1356,8.0,73.0,12.0
195,SOL-1355,5.0,45.0,12.0
196,SOL-1354,13.0,73.0,26.0
197,SOL-1353,20.0,60.0,27.0
198,SOL-1351,8.0,96.0,77.0
199,SOL-1348,5.0,23.0,16.0
200,SOL-1347,5.0,33.0,22.0
201,SOL-1332,2.0,49.0,28.0
202,SOL-1331,20.0,70.0,44.0
203,SOL-1330,5.0,50.0,29.0
204,SOL-1327,3.0,48.0,17.0
205,SOL-1326,8.0,41.0,16.0
206,SOL-1321,13.0,142.0,22.0
207,SOL-1320,8.0,131.0,12.0
208,SOL-1314,2.0,4.0,1.0
209,SOL-1312,13.0,292.0,14.0
210,SOL-1311,13.0,292.0,14.0
211,SOL-1310,13.0,298.0,5.0
212,SOL-1308,13.0,35.0,20.0
213,SOL-1307,21.0,216.0,55.0
214,SOL-1298,13.0,75.0,14.0
215,SOL-1297,8.0,75.0,13.0
216,SOL-1296,13.0,75.0,13.0
217,SOL-1292,8.0,87.0,41.0
218,SOL-1291,13.0,245.0,198.0
219,SOL-1290,5.0,54.0,7.0
220,SOL-1289,5.0,277.0,3.0
221,SOL-1288,2.0,250.0,4.0
222,SOL-1262,5.0,322.0,51.0
223,SOL-1251,5.0,80.0,41.0
224,SOL-1225,8.0,316.0,197.0
225,SOL-1223,13.0,166.0,41.0
226,SOL-1222,8.0,356.0,22.0
227,SOL-1221,8.0,139.0,22.0
228,SOL-1219,8.0,126.0,9.0
229,SOL-1218,5.0,114.0,8.0
230,SOL-1217,5.0,114.0,7.0
231,SOL-1216,5.0,127.0,14.0
232,SOL-1215,5.0,357.0,13.0
233,SOL-1214,8.0,118.0,13.0
234,SOL-1213,8.0,357.0,13.0
235,SOL-1212,5.0,167.0,64.0
236,SOL-1068,8.0,34.0,27.0
237,SOL-1066,5.0,20.0,13.0
238,SOL-1065,3.0,20.0,13.0
239,SOL-1064,3.0,16.0,9.0
240,SOL-1042,13.0,83.0,67.0
241,SOL-1041,3.0,13.0,10.0
242,SOL-1039,40.0,83.0,81.0
243,SOL-1033,13.0,20.0,11.0
244,SOL-1032,20.0,20.0,12.0
245,SOL-1026,20.0,66.0,30.0
246,SOL-1025,5.0,56.0,18.0
247,SOL-1019,5.0,49.0,16.0
248,SOL-1016,2.0,33.0,7.0
249,SOL-1013,5.0,36.0,9.0
250,SOL-1006,8.0,120.0,93.0
251,SOL-989,2.0,112.0,101.0
252,SOL-988,2.0,112.0,102.0
253,SOL-972,8.0,113.0,42.0
254,SOL-971,8.0,106.0,24.0
255,SOL-970,13.0,106.0,35.0
256,SOL-969,8.0,99.0,28.0
257,SOL-968,8.0,94.0,23.0
258,SOL-966,13.0,114.0,32.0
259,SOL-964,13.0,94.0,22.0
260,SOL-963,8.0,83.0,19.0
261,SOL-962,8.0,78.0,14.0
262,SOL-960,13.0,84.0,20.0
263,SOL-959,8.0,71.0,7.0
264,SOL-958,3.0,100.0,87.0
265,SOL-957,8.0,99.0,90.0
266,SOL-956,2.0,108.0,94.0
267,SOL-955,3.0,31.0,21.0
268,SOL-954,3.0,133.0,124.0
269,SOL-953,13.0,129.0,87.0
270,SOL-952,8.0,97.0,88.0
271,SOL-951,13.0,60.0,10.0
272,SOL-950,13.0,64.0,1.0
273,SOL-949,3.0,15.0,5.0
274,SOL-948,3.0,49.0,11.0
275,SOL-947,3.0,56.0,5.0
276,SOL-946,3.0,53.0,3.0
277,SOL-945,5.0,57.0,7.0
278,SOL-944,8.0,53.0,3.0
279,SOL-943,3.0,52.0,14.0
280,SOL-942,5.0,45.0,7.0
281,SOL-941,8.0,45.0,7.0
282,SOL-940,5.0,46.0,8.0
283,SOL-939,8.0,49.0,11.0
284,SOL-938,5.0,46.0,8.0
285,SOL-937,8.0,49.0,11.0
286,SOL-936,13.0,52.0,29.0
287,SOL-935,3.0,14.0,5.0
288,SOL-934,2.0,11.0,1.0
289,SOL-933,2.0,22.0,12.0
290,SOL-930,8.0,15.0,6.0
291,SOL-929,2.0,10.0,7.0
292,SOL-919,8.0,1.0,0.0
293,SOL-917,5.0,80.0,80.0
294,SOL-916,13.0,81.0,31.0
295,SOL-915,3.0,123.0,89.0
296,SOL-914,13.0,28.0,13.0
297,SOL-913,2.0,92.0,28.0
298,SOL-912,8.0,28.0,7.0
299,SOL-911,5.0,14.0,4.0
300,SOL-910,3.0,94.0,29.0
301,SOL-908,3.0,8.0,6.0
302,SOL-905,3.0,9.0,3.0
303,SOL-904,8.0,28.0,13.0
304,SOL-903,3.0,9.0,3.0
305,SOL-902,8.0,147.0,145.0
306,SOL-901,8.0,28.0,13.0
307,SOL-900,3.0,9.0,3.0
308,SOL-899,3.0,8.0,7.0
309,SOL-898,8.0,147.0,145.0
310,SOL-897,3.0,14.0,12.0
311,SOL-896,8.0,112.0,104.0
312,SOL-895,3.0,9.0,0.0
313,SOL-894,3.0,9.0,2.0
314,SOL-893,1.0,9.0,7.0
315,SOL-892,8.0,14.0,7.0
316,SOL-891,2.0,88.0,23.0
317,SOL-890,2.0,8.0,2.0
318,SOL-889,1.0,91.0,23.0
319,SOL-888,1.0,82.0,14.0
320,SOL-887,1.0,91.0,23.0
321,SOL-886,8.0,15.0,0.0
322,SOL-885,1.0,5.0,0.0
323,SOL-878,1.0,15.0,0.0
324,SOL-870,0.5,14.0,8.0
325,SOL-869,0.5,14.0,8.0
326,SOL-867,0.5,14.0,15.0
327,SOL-866,0.5,14.0,15.0
328,SOL-855,2.0,56.0,12.0
329,SOL-852,20.0,103.0,22.0
330,SOL-851,3.0,91.0,16.0
331,SOL-850,13.0,89.0,15.0
332,SOL-849,5.0,84.0,9.0
333,SOL-848,3.0,82.0,8.0
334,SOL-847,5.0,98.0,18.0
335,SOL-844,3.0,74.0,6.0
336,SOL-842,8.0,182.0,106.0
337,SOL-841,13.0,169.0,93.0
338,SOL-837,5.0,168.0,56.0
339,SOL-836,3.0,48.0,21.0
340,SOL-835,10.0,34.0,7.0
341,SOL-634,5.0,337.0,14.0
